time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation_probability,precipitation,rain,showers,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0cm,soil_temperature_6cm,soil_temperature_18cm,soil_temperature_54cm,soil_moisture_0_to_1cm,soil_moisture_1_to_3cm,soil_moisture_3_to_9cm,soil_moisture_9_to_27cm,soil_moisture_27_to_81cm
2026-03-23 00:00:00,9.3,82,6.4,0,0.0,0.0,0.0,0.0,0.0,0,1015.2,1013.2,3,0.0,0.21,4.1,322,8.6,9.6,11.9,14.8,13.5,0.261,0.262,0.266,0.283,0.322
2026-03-23 01:00:00,8.7,80,5.5,0,0.0,0.0,0.0,0.0,0.0,1,1015.1,1013.1,30,0.0,0.23,4.1,322,7.9,9.1,11.2,14.5,13.5,0.262,0.263,0.267,0.283,0.322
2026-03-23 02:00:00,8.4,72,3.7,0,0.0,0.0,0.0,0.0,0.0,1,1014.9,1012.9,0,0.0,0.31,3.8,343,7.6,8.5,10.5,14.1,13.6,0.263,0.264,0.267,0.283,0.322
2026-03-23 03:00:00,7.9,72,3.2,0,0.0,0.0,0.0,0.0,0.0,0,1015.6,1013.6,0,0.0,0.3,4.0,360,7.6,8.0,10.0,13.8,13.6,0.263,0.264,0.267,0.283,0.322
2026-03-23 04:00:00,7.3,73,2.8,0,0.0,0.0,0.0,0.0,0.0,0,1015.9,1013.9,0,0.0,0.28,4.2,340,7.9,7.6,9.5,13.4,13.5,0.264,0.265,0.268,0.283,0.322
2026-03-23 05:00:00,7.1,77,3.4,0,0.0,0.0,0.0,0.0,0.0,0,1015.7,1013.7,0,0.0,0.23,4.0,355,7.6,7.5,9.2,13.0,13.5,0.254,0.255,0.261,0.28,0.321
2026-03-23 06:00:00,6.8,78,3.3,0,0.0,0.0,0.0,0.0,0.0,0,1016.1,1014.1,0,0.0,0.22,3.6,354,7.2,7.1,8.7,12.7,13.5,0.256,0.256,0.261,0.28,0.321
2026-03-23 07:00:00,6.5,79,3.1,0,0.0,0.0,0.0,0.0,0.0,0,1016.6,1014.6,0,0.0,0.2,3.6,354,6.8,6.8,8.4,12.4,13.5,0.257,0.257,0.261,0.28,0.321
2026-03-23 08:00:00,6.0,82,3.2,0,0.0,0.0,0.0,0.0,0.0,0,1017.4,1015.4,2,0.0,0.17,3.6,6,6.8,6.5,8.0,12.0,13.5,0.258,0.258,0.262,0.28,0.321
2026-03-23 09:00:00,6.0,82,3.2,0,0.0,0.0,0.0,0.0,0.0,0,1018.4,1016.4,0,0.0,0.17,3.7,11,6.8,7.8,7.9,11.7,13.5,0.258,0.259,0.262,0.28,0.321
2026-03-23 10:00:00,8.2,73,3.6,0,0.0,0.0,0.0,0.0,0.0,0,1019.0,1017.0,0,0.0,0.29,4.8,13,9.0,11.5,8.9,11.4,13.5,0.259,0.26,0.263,0.28,0.321
