time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation_probability,precipitation,rain,showers,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0cm,soil_temperature_6cm,soil_temperature_18cm,soil_temperature_54cm,soil_moisture_0_to_1cm,soil_moisture_1_to_3cm,soil_moisture_3_to_9cm,soil_moisture_9_to_27cm,soil_moisture_27_to_81cm
2026-03-23 00:00:00,6.5,90,5.0,0,0.0,0.0,0.0,0.0,0.0,2,1018.2,1015.6,80,0.0,0.1,3.2,297,5.8,6.0,8.8,10.9,10.4,0.224,0.225,0.229,0.245,0.269
2026-03-23 01:00:00,5.8,91,4.5,0,0.0,0.0,0.0,0.0,0.0,3,1018.2,1015.6,95,0.0,0.08,3.4,288,6.8,5.7,8.2,10.8,10.4,0.225,0.226,0.229,0.245,0.269
2026-03-23 02:00:00,4.2,96,3.6,0,0.0,0.0,0.0,0.0,0.0,3,1018.4,1015.8,87,0.0,0.03,3.1,249,5.8,4.2,7.2,10.4,10.4,0.226,0.226,0.229,0.245,0.269
2026-03-23 03:00:00,3.8,97,3.4,0,0.0,0.0,0.0,0.0,0.0,45,1018.4,1015.8,98,0.0,0.02,3.7,281,6.5,4.1,6.8,10.2,10.4,0.227,0.227,0.23,0.245,0.269
2026-03-23 04:00:00,4.7,95,3.9,0,0.0,0.0,0.0,0.0,0.0,3,1018.8,1016.2,95,0.0,0.04,3.7,299,7.6,4.8,6.6,9.9,10.4,0.227,0.228,0.23,0.245,0.269
2026-03-23 05:00:00,4.8,96,4.2,0,0.0,0.0,0.0,0.0,0.0,45,1018.6,1016.0,98,0.0,0.03,3.6,233,6.8,5.5,6.9,9.7,10.4,0.223,0.224,0.228,0.245,0.269
2026-03-23 06:00:00,4.6,97,4.2,0,0.0,0.0,0.0,0.0,0.0,45,1019.0,1016.4,93,0.0,0.03,3.6,276,7.6,5.2,6.8,9.5,10.4,0.224,0.224,0.228,0.245,0.269
2026-03-23 07:00:00,3.9,98,3.6,0,0.0,0.0,0.0,0.0,0.0,45,1019.0,1016.4,76,0.0,0.02,3.3,221,7.2,4.2,6.6,9.3,10.3,0.225,0.225,0.228,0.245,0.269
2026-03-23 08:00:00,3.2,100,3.2,0,0.0,0.0,0.0,0.0,0.0,45,1020.2,1017.6,100,0.0,0.0,3.1,249,6.5,2.8,5.5,9.0,10.3,0.225,0.226,0.229,0.245,0.269
2026-03-23 09:00:00,2.8,100,2.8,0,0.0,0.0,0.0,0.0,0.0,45,1020.7,1018.1,100,0.0,0.0,2.7,203,6.1,5.2,5.6,8.8,10.3,0.226,0.226,0.229,0.245,0.269
