time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation_probability,precipitation,rain,showers,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0cm,soil_temperature_6cm,soil_temperature_18cm,soil_temperature_54cm,soil_moisture_0_to_1cm,soil_moisture_1_to_3cm,soil_moisture_3_to_9cm,soil_moisture_9_to_27cm,soil_moisture_27_to_81cm
2026-03-23 00:00:00,5.2,91,3.8,0,0.0,0.0,0.0,0.0,0.0,0,1015.4,984.8,0,0.0,0.08,3.7,281,8.6,5.6,8.3,11.5,10.8,0.292,0.293,0.296,0.306,0.338
2026-03-23 01:00:00,4.9,90,3.4,0,0.0,0.0,0.0,0.0,0.0,0,1016.0,985.4,0,0.0,0.09,4.5,284,9.7,5.1,7.7,11.1,10.8,0.292,0.293,0.296,0.306,0.338
2026-03-23 02:00:00,4.5,88,2.7,0,0.0,0.0,0.0,0.0,0.0,0,1016.3,985.6,0,0.0,0.1,5.9,281,11.5,4.3,6.9,10.8,10.8,0.292,0.293,0.296,0.306,0.338
2026-03-23 03:00:00,4.1,88,2.3,0,0.0,0.0,0.0,0.0,0.0,0,1016.4,985.7,0,0.0,0.1,5.9,281,13.3,4.0,6.5,10.4,10.8,0.293,0.294,0.296,0.306,0.337
2026-03-23 04:00:00,3.6,90,2.1,0,0.0,0.0,0.0,0.0,0.0,0,1017.0,986.2,0,0.0,0.08,4.0,265,12.6,3.7,6.1,10.1,10.8,0.293,0.294,0.296,0.306,0.337
2026-03-23 05:00:00,2.9,92,1.7,0,0.0,0.0,0.0,0.0,0.0,1,1017.4,986.5,0,0.0,0.06,3.3,276,8.6,3.1,5.7,9.7,10.8,0.291,0.292,0.295,0.305,0.338
2026-03-23 06:00:00,2.5,93,1.5,0,0.0,0.0,0.0,0.0,0.0,1,1017.6,986.6,0,0.0,0.05,3.2,270,7.2,2.8,5.3,9.4,10.8,0.291,0.292,0.295,0.305,0.338
2026-03-23 07:00:00,2.3,94,1.4,0,0.0,0.0,0.0,0.0,0.0,1,1017.9,986.9,0,0.0,0.04,2.1,239,7.2,2.6,5.0,9.0,10.7,0.292,0.293,0.295,0.305,0.338
2026-03-23 08:00:00,1.7,95,1.0,0,0.0,0.0,0.0,0.0,0.0,2,1018.4,987.3,0,0.0,0.03,1.4,270,5.0,2.4,4.7,8.7,10.7,0.292,0.293,0.296,0.305,0.338
2026-03-23 09:00:00,2.4,92,1.2,0,0.0,0.0,0.0,0.0,0.0,2,1019.4,988.4,0,0.0,0.06,1.0,315,3.6,4.8,4.8,8.4,10.7,0.292,0.293,0.296,0.306,0.338
2026-03-23 10:00:00,4.8,83,2.1,0,0.0,0.0,0.0,0.0,0.0,1,1019.7,988.9,0,0.0,0.15,0.8,27,4.7,8.7,6.1,8.2,10.7,0.292,0.293,0.296,0.306,0.338
2026-03-23 11:00:00,8.2,70,3.1,0,0.0,0.0,0.0,0.0,0.0,0,1019.6,989.2,0,0.0,0.33,1.8,90,8.6,13.9,8.8,8.2,10.6,0.291,0.293,0.296,0.306,0.338
2026-03-23 12:00:00,10.6,62,3.6,0,0.0,0.0,0.0,0.0,0.0,1,1019.6,989.5,2,0.0,0.49,3.1,126,10.1,18.2,11.6,8.5,10.6,0.29,0.292,0.296,0.306,0.337
2026-03-23 13:00:00,12.5,53,3.2,0,0.0,0.0,0.0,0.0,0.0,2,1019.5,989.6,84,0.0,0.68,4.3,90,11.9,21.3,14.2,8.9,10.6,0.289,0.291,0.296,0.306,0.337
2026-03-23 14:00:00,14.1,43,1.7,0,0.0,0.0,0.0,0.0,0.0,3,1018.9,989.1,100,0.0,0.92,2.6,56,12.2,21.2,16.5,9.6,10.6,0.288,0.29,0.295,0.306,0.337
2026-03-23 15:00:00,14.6,42,1.8,0,0.0,0.0,0.0,0.0,0.0,3,1018.6,988.9,93,0.0,0.96,6.2,7,15.5,20.5,16.9,10.2,10.6,0.287,0.29,0.295,0.306,0.337
2026-03-23 16:00:00,15.2,37,0.6,0,0.0,0.0,0.0,0.0,0.0,2,1018.5,988.9,77,0.0,1.09,6.5,3,16.2,21.5,17.3,10.8,10.6,0.287,0.289,0.294,0.306,0.337
2026-03-23 17:00:00,15.2,36,0.2,0,0.0,0.0,0.0,0.0,0.0,3,1018.1,988.5,100,0.0,1.11,3.1,339,19.1,19.2,17.2,11.4,10.6,0.286,0.289,0.294,0.306,0.337
2026-03-23 18:00:00,14.7,38,0.5,0,0.0,0.0,0.0,0.0,0.0,2,1018.3,988.6,91,0.0,1.04,7.6,352,23.4,16.5,16.2,11.8,10.6,0.287,0.288,0.293,0.306,0.337
2026-03-23 19:00:00,14.4,39,0.6,0,0.0,0.0,0.0,0.0,0.0,3,1019.1,989.4,73,0.0,1.0,6.9,354,23.0,14.5,15.2,12.1,10.6,0.287,0.289,0.293,0.306,0.337
2026-03-23 20:00:00,13.2,49,2.7,0,0.0,0.0,0.0,0.0,0.0,3,1020.1,990.2,100,0.0,0.78,3.4,18,17.6,11.6,13.6,12.2,10.6,0.288,0.289,0.293,0.305,0.337
2026-03-23 21:00:00,11.1,61,3.9,0,0.0,0.0,0.0,0.0,0.0,2,1020.8,990.7,54,0.0,0.52,4.1,315,8.6,10.1,12.3,12.2,10.6,0.289,0.29,0.293,0.305,0.337
2026-03-23 22:00:00,9.8,64,3.3,0,0.0,0.0,0.0,0.0,0.0,2,1022.0,991.7,49,0.0,0.44,4.6,315,9.7,8.9,11.2,12.1,10.6,0.289,0.29,0.294,0.305,0.337
2026-03-23 23:00:00,8.9,63,2.2,0,0.0,0.0,0.0,0.0,0.0,1,1021.9,991.5,20,0.0,0.42,4.8,312,9.7,7.5,10.0,12.0,10.6,0.29,0.291,0.294,0.305,0.337
2026-03-24 00:00:00,7.6,67,1.8,0,0.0,0.0,0.0,0.0,0.0,1,1021.9,991.4,41,0.0,0.34,5.0,300,10.8,6.8,9.3,11.7,10.6,0.29,0.291,0.294,0.305,0.336
2026-03-24 01:00:00,6.0,77,2.3,0,0.0,0.0,0.0,0.0,0.0,3,1022.4,991.7,97,0.0,0.22,4.7,293,10.8,6.0,8.6,11.5,10.7,0.29,0.291,0.294,0.305,0.336
2026-03-24 02:00:00,4.5,85,2.2,0,0.0,0.0,0.0,0.0,0.0,1,1023.0,992.1,100,0.0,0.13,5.2,295,9.7,4.8,7.6,11.1,10.7,0.291,0.292,0.295,0.305,0.336
2026-03-24 03:00:00,4.1,84,1.7,0,0.0,0.0,0.0,0.0,0.0,2,1023.3,992.4,80,0.0,0.13,5.2,295,11.5,4.4,7.0,10.8,10.7,0.291,0.292,0.295,0.305,0.336
2026-03-24 04:00:00,4.2,82,1.4,0,0.0,0.0,0.0,0.0,0.0,1,1023.0,992.1,41,0.0,0.15,5.6,285,11.5,4.0,6.6,10.4,10.7,0.291,0.292,0.295,0.305,0.336
2026-03-24 05:00:00,3.8,82,1.0,0,0.0,0.0,0.0,0.0,0.0,3,1023.0,992.0,100,0.0,0.15,5.4,290,11.9,3.8,6.2,10.1,10.7,0.288,0.289,0.292,0.304,0.336
2026-03-24 06:00:00,3.1,86,1.0,0,0.0,0.0,0.0,0.0,0.0,1,1023.4,992.3,10,0.0,0.11,4.6,288,11.2,3.4,5.9,9.7,10.6,0.289,0.289,0.292,0.304,0.336
2026-03-24 07:00:00,2.9,85,0.6,0,0.0,0.0,0.0,0.0,0.0,1,1024.0,992.9,10,0.0,0.11,4.3,294,9.7,3.0,5.5,9.4,10.6,0.289,0.29,0.293,0.304,0.336
2026-03-24 08:00:00,2.7,85,0.5,0,0.0,0.0,0.0,0.0,0.0,1,1024.1,993.0,35,0.0,0.11,4.9,287,9.4,2.9,5.1,9.1,10.6,0.29,0.29,0.293,0.304,0.336
2026-03-24 09:00:00,3.9,80,0.8,0,0.0,0.0,0.0,0.0,0.0,3,1024.1,993.1,84,0.0,0.16,3.8,287,9.0,5.5,5.3,8.8,10.6,0.29,0.291,0.293,0.304,0.336
2026-03-24 10:00:00,5.9,72,1.2,0,0.0,0.0,0.0,0.0,0.0,2,1024.0,993.2,74,0.0,0.26,1.1,252,6.8,9.6,6.7,8.6,10.6,0.29,0.291,0.294,0.304,0.336
2026-03-24 11:00:00,9.2,60,1.9,0,0.0,0.0,0.0,0.0,0.0,2,1024.1,993.7,70,0.0,0.47,2.8,140,6.8,15.1,9.5,8.6,10.5,0.289,0.291,0.294,0.304,0.336
2026-03-24 12:00:00,11.3,55,2.6,0,0.0,0.0,0.0,0.0,0.0,1,1023.1,992.9,29,0.0,0.6,5.7,162,15.1,19.0,12.3,8.9,10.5,0.288,0.29,0.294,0.304,0.336
2026-03-24 13:00:00,13.3,49,2.8,0,0.0,0.0,0.0,0.0,0.0,1,1022.9,992.9,29,0.0,0.78,5.2,168,15.5,22.2,14.9,9.4,10.5,0.287,0.289,0.294,0.304,0.336
2026-03-24 14:00:00,15.3,46,3.8,0,0.0,0.0,0.0,0.0,0.0,1,1022.2,992.5,7,0.0,0.94,7.0,192,18.0,24.1,17.5,10.0,10.5,0.286,0.288,0.293,0.304,0.336
2026-03-24 15:00:00,16.6,35,1.1,0,0.0,0.0,0.0,0.0,0.0,1,1020.9,991.3,52,0.0,1.23,6.2,260,18.4,25.4,19.1,10.7,10.5,0.284,0.287,0.293,0.304,0.336
2026-03-24 16:00:00,16.7,32,-0.1,0,0.0,0.0,0.0,0.0,0.0,1,1020.5,991.0,28,0.0,1.3,6.5,264,14.8,24.3,19.8,11.5,10.5,0.283,0.286,0.292,0.304,0.335
2026-03-24 17:00:00,16.8,35,1.2,0,0.0,0.0,0.0,0.0,0.0,3,1019.6,990.1,22,0.0,1.24,6.8,245,14.8,22.5,19.9,12.2,10.5,0.283,0.285,0.291,0.304,0.335
2026-03-24 18:00:00,16.8,38,2.4,0,0.0,0.0,0.0,0.0,0.0,3,1019.0,989.5,100,0.0,1.19,5.0,201,17.3,20.0,19.2,12.8,10.5,0.283,0.285,0.291,0.304,0.335
2026-03-24 19:00:00,16.1,40,2.5,0,0.0,0.0,0.0,0.0,0.0,2,1018.9,989.3,78,0.0,1.1,9.0,180,20.9,16.4,17.7,13.2,10.6,0.284,0.285,0.291,0.304,0.335
2026-03-24 20:00:00,14.4,49,3.8,0,0.0,0.0,0.0,0.0,0.0,3,1018.8,989.1,100,0.0,0.84,13.0,194,31.7,13.3,15.8,13.4,10.6,0.285,0.286,0.291,0.304,0.335
2026-03-24 21:00:00,13.1,53,3.8,0,0.0,0.0,0.0,0.0,0.0,3,1018.3,988.5,100,0.0,0.71,6.5,214,28.4,12.0,14.2,13.5,10.6,0.285,0.287,0.291,0.304,0.335
2026-03-24 22:00:00,12.4,49,2.0,0,0.0,0.0,0.0,0.0,0.0,3,1018.6,988.7,100,0.0,0.73,5.5,238,14.0,11.1,13.1,13.4,10.6,0.286,0.287,0.291,0.304,0.335
2026-03-24 23:00:00,12.0,53,2.7,0,0.0,0.0,0.0,0.0,0.0,3,1018.3,988.3,100,0.0,0.66,4.6,219,11.5,10.6,12.5,13.3,10.7,0.286,0.288,0.291,0.304,0.335
2026-03-25 00:00:00,10.9,60,3.5,0,0.0,0.0,0.0,0.0,0.0,3,1018.2,988.1,93,0.0,0.52,4.2,250,9.4,9.6,11.7,13.1,10.7,0.287,0.288,0.291,0.304,0.335
2026-03-25 01:00:00,10.0,66,3.9,0,0.0,0.0,0.0,0.0,0.0,3,1017.5,987.4,99,0.0,0.42,4.2,200,8.6,8.6,10.9,12.9,10.7,0.288,0.289,0.292,0.304,0.335
2026-03-25 02:00:00,9.6,67,3.8,0,0.0,0.0,0.0,0.0,0.0,3,1016.8,986.6,100,0.0,0.39,3.9,214,8.6,8.2,10.3,12.6,10.7,0.288,0.289,0.292,0.304,0.335
2026-03-25 03:00:00,8.8,72,4.1,0,0.0,0.0,0.0,0.0,0.0,2,1016.1,985.9,65,0.0,0.32,4.4,215,9.7,7.6,9.8,12.3,10.7,0.289,0.29,0.292,0.304,0.335
2026-03-25 04:00:00,8.0,76,4.1,0,0.0,0.0,0.0,0.0,0.0,0,1015.4,985.1,0,0.0,0.26,5.1,188,10.8,7.0,9.2,12.0,10.7,0.289,0.29,0.293,0.304,0.335
2026-03-25 05:00:00,7.6,80,4.4,0,0.0,0.0,0.0,0.0,0.0,0,1014.6,984.3,0,0.0,0.21,4.3,185,11.2,6.8,8.9,11.7,10.8,0.282,0.283,0.287,0.302,0.334
2026-03-25 06:00:00,7.7,78,4.1,0,0.0,0.0,0.0,0.0,0.0,0,1014.2,983.9,0,0.0,0.23,6.3,193,12.6,6.3,8.4,11.4,10.8,0.283,0.284,0.287,0.302,0.334
2026-03-25 07:00:00,8.2,68,2.6,0,0.0,0.0,0.0,0.0,0.0,0,1013.9,983.7,0,0.0,0.35,7.1,204,16.2,6.3,8.1,11.1,10.8,0.284,0.284,0.288,0.301,0.334
2026-03-25 08:00:00,8.1,64,1.7,0,0.0,0.0,0.0,0.0,0.0,3,1013.1,982.9,13,0.0,0.39,7.7,208,16.2,6.2,7.8,10.9,10.8,0.284,0.285,0.288,0.301,0.334
2026-03-25 09:00:00,8.8,61,1.7,8,0.0,0.0,0.0,0.0,0.0,3,1011.7,981.6,100,0.0,0.44,12.3,218,27.0,8.8,8.2,10.6,10.8,0.284,0.285,0.288,0.301,0.334
2026-03-25 10:00:00,9.4,68,3.8,100,0.0,0.0,0.0,0.0,0.0,61,1011.5,981.5,100,0.0,0.38,17.2,233,38.9,9.4,9.0,10.4,10.8,0.285,0.286,0.289,0.301,0.334
2026-03-25 11:00:00,10.0,69,4.6,85,0.1,0.1,0.0,0.0,0.0,61,1010.9,980.9,98,0.0,0.38,17.1,240,44.3,12.0,9.9,10.4,10.7,0.285,0.286,0.289,0.301,0.334
2026-03-25 12:00:00,9.1,78,5.5,38,1.2,1.2,0.0,0.0,0.0,80,1010.8,980.8,100,0.0,0.26,16.3,256,49.7,9.6,10.6,10.4,10.7,0.297,0.292,0.29,0.301,0.334
2026-03-25 13:00:00,9.8,63,3.1,45,0.2,0.2,0.0,0.0,0.0,61,1011.3,981.3,100,0.0,0.45,20.3,287,50.0,13.7,11.5,10.4,10.7,0.295,0.295,0.292,0.301,0.334
2026-03-25 14:00:00,9.9,50,-0.0,20,0.1,0.1,0.0,0.0,0.0,61,1011.5,981.5,95,0.0,0.61,24.3,282,65.5,15.3,11.9,10.5,10.7,0.289,0.29,0.292,0.301,0.334
2026-03-25 15:00:00,10.0,57,1.9,10,0.1,0.1,0.0,0.0,0.0,80,1010.6,980.7,100,0.0,0.53,20.6,282,60.1,14.2,12.7,10.7,10.7,0.288,0.289,0.292,0.301,0.333
2026-03-25 16:00:00,6.0,75,1.9,30,2.2,2.2,0.0,0.0,0.0,95,1012.3,981.9,100,0.0,0.23,22.7,280,59.4,8.5,12.4,10.9,10.7,0.314,0.302,0.293,0.301,0.333
2026-03-25 17:00:00,8.0,63,1.4,15,0.2,0.2,0.0,0.0,0.0,80,1011.9,981.7,12,0.0,0.4,23.1,285,61.9,11.5,11.3,10.9,10.7,0.3,0.3,0.296,0.302,0.333
2026-03-25 18:00:00,7.7,61,0.6,0,0.1,0.1,0.0,0.0,0.0,80,1011.8,981.6,12,0.0,0.41,22.8,275,61.6,10.2,11.0,10.9,10.7,0.296,0.297,0.297,0.302,0.333
2026-03-25 19:00:00,5.5,74,1.3,0,0.4,0.4,0.0,0.0,0.0,80,1013.0,982.5,100,0.0,0.24,19.5,298,59.8,6.5,9.8,10.9,10.7,0.298,0.298,0.298,0.302,0.333
2026-03-25 20:00:00,5.0,72,0.4,0,0.3,0.3,0.0,0.0,0.0,80,1014.0,983.4,100,0.0,0.24,15.7,286,50.4,4.5,8.1,10.7,10.7,0.3,0.3,0.299,0.302,0.333
2026-03-25 21:00:00,4.6,73,0.2,0,0.0,0.0,0.0,0.0,0.0,3,1013.7,983.1,95,0.0,0.23,11.3,301,34.6,4.4,7.1,10.4,10.7,0.298,0.299,0.299,0.303,0.333
2026-03-25 22:00:00,4.6,75,0.5,0,0.0,0.0,0.0,0.0,0.0,3,1014.4,983.8,100,0.0,0.21,10.5,301,24.5,4.4,6.6,10.1,10.7,0.297,0.298,0.299,0.303,0.333
2026-03-25 23:00:00,4.0,79,0.7,0,0.0,0.0,0.0,0.0,0.0,80,1015.2,984.5,100,0.0,0.17,9.8,287,29.9,4.2,6.3,9.8,10.7,0.298,0.298,0.299,0.303,0.333
2026-03-26 00:00:00,3.3,83,0.7,0,0.0,0.0,0.0,0.0,0.0,3,1014.9,984.1,100,0.0,0.13,11.4,283,26.6,3.4,5.9,9.5,10.7,0.297,0.298,0.299,0.304,0.333
2026-03-26 01:00:00,3.2,83,0.6,0,0.0,0.0,0.0,0.0,0.0,2,1015.3,984.5,71,0.0,0.13,10.6,298,28.1,3.3,5.4,9.2,10.7,0.297,0.298,0.299,0.304,0.333
