time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation_probability,precipitation,rain,showers,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0cm,soil_temperature_6cm,soil_temperature_18cm,soil_temperature_54cm,soil_moisture_0_to_1cm,soil_moisture_1_to_3cm,soil_moisture_3_to_9cm,soil_moisture_9_to_27cm,soil_moisture_27_to_81cm
2026-03-23 00:00:00,6.5,87,4.5,0,0.0,0.0,0.0,0.0,0.0,1,1016.0,993.5,12,0.0,0.13,3.2,153,12.2,6.6,9.2,12.7,12.8,0.296,0.297,0.299,0.304,0.333
2026-03-23 01:00:00,6.2,89,4.5,0,0.0,0.0,0.0,0.0,0.0,0,1016.1,993.5,8,0.0,0.1,2.8,130,7.6,6.2,8.7,12.3,12.8,0.296,0.297,0.299,0.304,0.333
2026-03-23 02:00:00,6.1,89,4.4,0,0.0,0.0,0.0,0.0,0.0,1,1016.3,993.7,46,0.0,0.1,1.1,342,3.2,6.0,8.3,12.0,12.8,0.296,0.297,0.299,0.304,0.333
2026-03-23 03:00:00,6.0,92,4.8,0,0.0,0.0,0.0,0.0,0.0,2,1016.9,994.3,69,0.0,0.07,0.8,297,3.2,5.9,8.0,11.7,12.8,0.296,0.297,0.299,0.305,0.333
2026-03-23 04:00:00,5.8,92,4.6,0,0.0,0.0,0.0,0.0,0.0,2,1016.9,994.3,75,0.0,0.07,1.8,191,4.0,6.2,7.9,11.3,12.8,0.296,0.297,0.299,0.305,0.333
2026-03-23 05:00:00,5.3,90,3.8,0,0.0,0.0,0.0,0.0,0.0,45,1017.3,994.6,81,0.0,0.09,2.8,230,6.5,6.2,7.8,11.0,12.8,0.303,0.304,0.307,0.312,0.333
2026-03-23 06:00:00,5.0,90,3.5,0,0.0,0.0,0.0,0.0,0.0,2,1017.4,994.7,53,0.0,0.09,2.9,210,8.3,5.4,7.6,10.8,12.7,0.304,0.305,0.307,0.312,0.333
2026-03-23 07:00:00,3.8,95,3.0,0,0.0,0.0,0.0,0.0,0.0,45,1017.8,995.0,68,0.0,0.04,4.1,135,9.4,4.8,7.1,10.5,12.7,0.304,0.305,0.307,0.313,0.333
2026-03-23 08:00:00,3.0,94,2.1,0,0.0,0.0,0.0,0.0,0.0,45,1019.0,996.1,61,0.0,0.05,0.4,180,9.0,4.3,6.6,10.2,12.7,0.303,0.304,0.307,0.313,0.333
2026-03-23 09:00:00,3.1,94,2.2,0,0.0,0.0,0.0,0.0,0.0,45,1019.2,996.3,59,0.0,0.05,1.8,191,5.8,6.2,6.6,10.0,12.7,0.303,0.304,0.307,0.313,0.333
2026-03-23 10:00:00,5.0,86,2.8,0,0.0,0.0,0.0,0.0,0.0,2,1019.6,996.9,38,0.0,0.12,0.8,243,5.8,9.9,7.8,9.8,12.6,0.303,0.304,0.306,0.313,0.333
2026-03-23 11:00:00,7.2,79,3.8,0,0.0,0.0,0.0,0.0,0.0,0,1019.8,997.2,46,0.0,0.21,0.8,27,4.3,14.1,10.1,9.8,12.6,0.303,0.304,0.306,0.313,0.333
2026-03-23 12:00:00,9.2,71,4.2,0,0.0,0.0,0.0,0.0,0.0,1,1020.1,997.7,49,0.0,0.34,4.3,5,12.2,18.6,12.5,10.1,12.6,0.302,0.303,0.306,0.313,0.333
2026-03-23 13:00:00,11.0,62,4.0,0,0.0,0.0,0.0,0.0,0.0,2,1020.0,997.7,25,0.0,0.5,9.4,18,23.0,21.3,15.3,10.5,12.5,0.302,0.303,0.306,0.313,0.333
