time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation_probability,precipitation,rain,showers,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0cm,soil_temperature_6cm,soil_temperature_18cm,soil_temperature_54cm,soil_moisture_0_to_1cm,soil_moisture_1_to_3cm,soil_moisture_3_to_9cm,soil_moisture_9_to_27cm,soil_moisture_27_to_81cm
2026-03-23 00:00:00,9.2,81,6.1,100,2.3,2.3,0.0,0.0,0.0,3,1013.0,1012.3,100,0.05,0.22,12.1,63,20.2,9.7,10.3,12.0,12.9,0.435,0.429,0.398,0.308,0.32
2026-03-23 01:00:00,9.3,80,6.0,100,0.2,0.2,0.0,0.0,0.0,51,1013.0,1012.3,100,0.05,0.23,7.5,55,11.9,9.6,10.1,11.9,12.9,0.439,0.436,0.417,0.312,0.32
2026-03-23 02:00:00,9.8,74,5.4,100,0.2,0.2,0.0,0.0,0.0,51,1013.4,1012.7,100,0.03,0.31,5.8,97,15.1,9.4,9.9,11.7,12.9,0.434,0.434,0.426,0.321,0.323
2026-03-23 03:00:00,10.1,73,5.5,100,0.4,0.4,0.0,0.0,0.0,51,1013.2,1012.5,100,0.03,0.33,6.2,54,20.9,9.3,9.8,11.6,12.9,0.425,0.427,0.428,0.328,0.323
2026-03-23 04:00:00,10.0,72,5.2,95,0.2,0.2,0.0,0.0,0.0,3,1013.2,1012.5,100,0.02,0.34,7.4,133,14.0,9.2,9.7,11.5,12.9,0.418,0.42,0.425,0.336,0.323
2026-03-23 05:00:00,10.0,72,5.2,90,0.0,0.0,0.0,0.0,0.0,3,1013.2,1012.5,100,0.03,0.34,5.4,94,9.0,9.1,9.6,11.5,12.9,0.41,0.413,0.419,0.342,0.323
2026-03-23 06:00:00,10.1,74,5.7,58,0.0,0.0,0.0,0.0,0.0,3,1013.9,1013.2,100,0.02,0.32,3.2,333,11.9,9.0,9.5,11.4,12.9,0.401,0.405,0.412,0.347,0.324
2026-03-23 07:00:00,9.2,76,5.2,13,0.0,0.0,0.0,0.0,0.0,3,1014.2,1013.5,91,0.03,0.28,2.8,40,13.0,8.8,9.4,11.3,12.9,0.394,0.398,0.405,0.351,0.324
2026-03-23 08:00:00,9.8,71,4.8,3,0.0,0.0,0.0,0.0,0.0,2,1015.0,1014.3,50,0.02,0.35,6.4,52,11.5,8.0,8.8,11.1,12.9,0.385,0.389,0.396,0.352,0.324
2026-03-23 09:00:00,10.5,68,4.9,0,0.0,0.0,0.0,0.0,0.0,0,1015.3,1014.6,0,0.02,0.41,6.4,43,19.1,9.5,8.8,11.0,12.8,0.38,0.384,0.39,0.354,0.324
