time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation_probability,precipitation,rain,showers,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0cm,soil_temperature_6cm,soil_temperature_18cm,soil_temperature_54cm,soil_moisture_0_to_1cm,soil_moisture_1_to_3cm,soil_moisture_3_to_9cm,soil_moisture_9_to_27cm,soil_moisture_27_to_81cm
2026-03-23 00:00:00,9.7,75,5.5,0,0.0,0.0,0.0,0.0,0.0,3,1016.9,1014.6,100,0.01,0.3,12.3,353,28.1,7.6,9.8,11.1,10.4,0.223,0.225,0.234,0.254,0.281
2026-03-23 01:00:00,9.4,70,4.2,3,0.0,0.0,0.0,0.0,0.0,2,1017.1,1014.8,71,0.01,0.35,8.3,360,21.2,7.4,9.3,10.9,10.4,0.224,0.226,0.234,0.254,0.281
2026-03-23 02:00:00,8.6,73,4.0,3,0.0,0.0,0.0,0.0,0.0,3,1017.4,1015.1,100,0.01,0.3,6.2,353,15.8,6.9,9.0,10.8,10.4,0.224,0.226,0.234,0.253,0.281
2026-03-23 03:00:00,7.7,80,4.5,0,0.0,0.0,0.0,0.0,0.0,0,1016.9,1014.5,1,-0.0,0.21,7.2,360,13.0,6.1,8.5,10.6,10.4,0.225,0.226,0.234,0.253,0.281
2026-03-23 04:00:00,6.7,84,4.2,3,0.0,0.0,0.0,0.0,0.0,3,1017.8,1015.4,100,-0.0,0.16,7.9,3,13.7,5.3,8.1,10.5,10.5,0.225,0.227,0.234,0.253,0.281
2026-03-23 05:00:00,6.3,85,4.0,0,0.0,0.0,0.0,0.0,0.0,0,1018.2,1015.8,0,-0.0,0.14,7.2,3,15.1,4.6,7.6,10.3,10.4,0.226,0.227,0.234,0.253,0.28
2026-03-23 06:00:00,5.8,87,3.8,0,0.0,0.0,0.0,0.0,0.0,1,1018.4,1016.0,33,-0.0,0.12,7.9,357,16.2,4.0,7.1,10.1,10.4,0.227,0.228,0.234,0.253,0.28
2026-03-23 07:00:00,5.5,89,3.9,0,0.0,0.0,0.0,0.0,0.0,0,1018.8,1016.4,0,-0.0,0.1,6.6,13,19.8,3.6,6.6,9.8,10.4,0.227,0.229,0.234,0.253,0.28
2026-03-23 08:00:00,5.1,90,3.6,0,0.0,0.0,0.0,0.0,0.0,0,1019.6,1017.2,0,-0.0,0.09,8.8,9,18.0,2.9,5.9,9.5,10.4,0.228,0.229,0.235,0.253,0.28
2026-03-23 09:00:00,5.8,86,3.7,0,0.0,0.0,0.0,0.0,0.0,0,1019.7,1017.3,1,-0.0,0.13,4.6,51,13.3,4.2,5.7,9.3,10.4,0.229,0.23,0.235,0.253,0.28
2026-03-23 10:00:00,7.2,79,3.8,0,0.0,0.0,0.0,0.0,0.0,0,1020.1,1017.7,0,0.01,0.21,6.6,49,14.8,8.8,6.4,9.1,10.4,0.229,0.23,0.235,0.253,0.28
2026-03-23 11:00:00,9.3,72,4.5,0,0.0,0.0,0.0,0.0,0.0,0,1020.2,1017.9,0,0.06,0.33,5.2,34,13.3,12.8,8.0,9.0,10.4,0.227,0.23,0.235,0.253,0.28
2026-03-23 12:00:00,12.0,64,5.4,0,0.0,0.0,0.0,0.0,0.0,0,1021.0,1018.7,0,0.12,0.51,5.2,12,14.0,15.8,10.0,9.0,10.4,0.225,0.229,0.235,0.253,0.28
2026-03-23 13:00:00,14.2,56,5.5,0,0.0,0.0,0.0,0.0,0.0,3,1021.2,1018.9,100,0.17,0.71,6.0,17,16.6,18.2,11.9,9.2,10.4,0.222,0.227,0.234,0.252,0.28
2026-03-23 14:00:00,15.7,48,4.7,0,0.0,0.0,0.0,0.0,0.0,3,1021.1,1018.8,100,0.22,0.93,4.7,4,14.8,19.7,13.7,9.5,10.4,0.218,0.225,0.233,0.252,0.28
2026-03-23 15:00:00,16.7,41,3.4,0,0.0,0.0,0.0,0.0,0.0,2,1021.3,1019.0,74,0.25,1.12,2.6,106,16.9,21.4,14.9,9.9,10.4,0.215,0.223,0.232,0.252,0.28
2026-03-23 16:00:00,17.3,37,2.5,0,0.0,0.0,0.0,0.0,0.0,2,1020.8,1018.5,68,0.26,1.25,5.0,60,17.3,19.4,15.5,10.3,10.4,0.211,0.22,0.231,0.251,0.28
2026-03-23 17:00:00,17.5,41,4.1,0,0.0,0.0,0.0,0.0,0.0,2,1020.8,1018.5,71,0.22,1.18,6.0,25,16.2,19.4,15.8,10.7,10.4,0.209,0.218,0.23,0.251,0.28
2026-03-23 18:00:00,17.1,44,4.7,0,0.0,0.0,0.0,0.0,0.0,2,1021.0,1018.7,63,0.17,1.09,7.4,321,14.8,17.5,15.8,11.0,10.4,0.208,0.217,0.23,0.25,0.28
2026-03-23 19:00:00,16.6,47,5.2,0,0.0,0.0,0.0,0.0,0.0,2,1021.0,1018.7,74,0.12,1.0,8.1,315,17.3,14.6,15.2,11.3,10.4,0.208,0.216,0.229,0.25,0.28
2026-03-23 20:00:00,15.2,51,5.2,0,0.0,0.0,0.0,0.0,0.0,0,1021.5,1019.2,19,0.05,0.85,10.4,304,17.6,11.8,14.1,11.5,10.4,0.21,0.216,0.229,0.25,0.28
2026-03-23 21:00:00,13.5,56,4.9,0,0.0,0.0,0.0,0.0,0.0,3,1022.5,1020.2,100,0.02,0.68,9.6,304,19.8,9.6,12.7,11.6,10.4,0.212,0.216,0.228,0.25,0.28
2026-03-23 22:00:00,12.8,54,3.8,0,0.0,0.0,0.0,0.0,0.0,3,1022.7,1020.4,100,0.01,0.68,7.1,315,16.9,8.2,11.5,11.6,10.4,0.214,0.217,0.228,0.25,0.28
2026-03-23 23:00:00,12.1,57,3.8,0,0.0,0.0,0.0,0.0,0.0,3,1022.8,1020.5,100,0.01,0.61,6.9,317,11.9,7.0,10.4,11.5,10.4,0.215,0.218,0.228,0.25,0.28
2026-03-24 00:00:00,11.3,58,3.3,0,0.0,0.0,0.0,0.0,0.0,3,1022.9,1020.6,100,-0.0,0.56,2.9,330,10.1,6.1,9.5,11.4,10.4,0.216,0.218,0.228,0.25,0.28
2026-03-24 01:00:00,10.6,65,4.3,0,0.0,0.0,0.0,0.0,0.0,3,1023.0,1020.7,94,-0.0,0.45,2.9,240,5.0,5.2,8.7,11.2,10.4,0.217,0.219,0.229,0.25,0.279
2026-03-24 02:00:00,9.6,71,4.6,0,0.0,0.0,0.0,0.0,0.0,3,1023.0,1020.7,100,-0.0,0.35,4.8,222,7.2,5.0,8.2,11.0,10.5,0.215,0.217,0.226,0.249,0.279
2026-03-24 03:00:00,9.4,72,4.6,0,0.0,0.0,0.0,0.0,0.0,3,1023.4,1021.0,100,-0.0,0.33,0.0,270,5.0,4.7,7.7,10.8,10.5,0.216,0.218,0.227,0.249,0.279
2026-03-24 04:00:00,8.1,72,3.4,0,0.0,0.0,0.0,0.0,0.0,3,1023.5,1021.1,100,-0.0,0.3,3.9,146,6.5,4.4,7.3,10.5,10.5,0.217,0.219,0.227,0.249,0.279
2026-03-24 05:00:00,8.3,72,3.6,0,0.0,0.0,0.0,0.0,0.0,3,1023.3,1020.9,100,-0.0,0.31,4.7,247,5.0,3.6,6.9,10.3,10.5,0.218,0.219,0.227,0.249,0.279
2026-03-24 06:00:00,7.4,78,3.9,0,0.0,0.0,0.0,0.0,0.0,3,1023.4,1021.0,100,-0.0,0.23,6.3,204,8.3,2.9,6.4,10.0,10.5,0.219,0.22,0.227,0.249,0.279
2026-03-24 07:00:00,6.9,81,3.9,0,0.0,0.0,0.0,0.0,0.0,3,1023.0,1020.6,100,-0.0,0.19,5.1,176,9.0,3.0,6.0,9.7,10.5,0.219,0.22,0.227,0.249,0.279
2026-03-24 08:00:00,6.5,81,3.5,0,0.0,0.0,0.0,0.0,0.0,3,1023.2,1020.8,94,-0.0,0.18,2.6,146,5.4,2.3,5.4,9.4,10.4,0.22,0.221,0.227,0.249,0.279
2026-03-24 09:00:00,7.9,80,4.7,0,0.0,0.0,0.0,0.0,0.0,3,1023.3,1020.9,100,0.0,0.21,3.2,207,8.3,4.7,5.4,9.2,10.4,0.22,0.221,0.228,0.249,0.279
2026-03-24 10:00:00,10.0,77,6.1,0,0.0,0.0,0.0,0.0,0.0,3,1023.2,1020.9,100,0.01,0.28,4.8,193,10.1,9.0,6.3,9.0,10.4,0.221,0.222,0.228,0.249,0.279
2026-03-24 11:00:00,12.0,72,7.1,0,0.0,0.0,0.0,0.0,0.0,3,1023.7,1021.4,100,0.04,0.39,8.5,208,17.6,13.2,8.0,8.9,10.4,0.22,0.222,0.228,0.249,0.279
2026-03-24 12:00:00,13.5,59,5.7,0,0.0,0.0,0.0,0.0,0.0,3,1023.0,1020.7,100,0.11,0.64,11.0,218,24.8,16.4,10.1,8.9,10.4,0.218,0.221,0.228,0.248,0.279
2026-03-24 13:00:00,15.3,49,4.6,0,0.0,0.0,0.0,0.0,0.0,1,1022.8,1020.5,39,0.17,0.89,14.3,221,31.3,16.9,11.8,9.1,10.4,0.215,0.22,0.227,0.248,0.279
2026-03-24 14:00:00,16.4,46,4.7,0,0.0,0.0,0.0,0.0,0.0,3,1022.5,1020.2,100,0.2,1.01,16.6,236,33.8,18.5,13.4,9.4,10.4,0.212,0.218,0.227,0.248,0.278
2026-03-24 15:00:00,16.5,44,4.2,0,0.0,0.0,0.0,0.0,0.0,3,1022.2,1019.9,100,0.22,1.05,19.5,240,38.5,18.9,14.2,9.8,10.4,0.209,0.216,0.226,0.247,0.278
2026-03-24 16:00:00,16.0,46,4.4,0,0.0,0.0,0.0,0.0,0.0,3,1021.5,1019.2,100,0.23,0.98,19.1,238,40.0,18.3,14.8,10.1,10.4,0.206,0.214,0.225,0.247,0.278
2026-03-24 17:00:00,15.8,48,4.8,0,0.0,0.0,0.0,0.0,0.0,3,1020.5,1018.2,100,0.2,0.94,18.0,237,37.8,17.0,14.9,10.4,10.4,0.204,0.213,0.224,0.247,0.278
2026-03-24 18:00:00,14.9,50,4.6,0,0.0,0.0,0.0,0.0,0.0,3,1020.3,1018.0,100,0.16,0.85,17.9,242,37.4,15.2,14.6,10.7,10.4,0.203,0.211,0.223,0.246,0.278
2026-03-24 19:00:00,14.0,58,5.9,0,0.0,0.0,0.0,0.0,0.0,3,1020.0,1017.7,100,0.11,0.67,17.3,249,35.6,12.9,13.9,11.0,10.4,0.204,0.211,0.223,0.246,0.278
2026-03-24 20:00:00,13.1,65,6.7,0,0.0,0.0,0.0,0.0,0.0,3,1020.1,1017.8,100,0.04,0.53,16.6,248,32.8,11.4,13.2,11.1,10.4,0.204,0.21,0.223,0.246,0.278
2026-03-24 21:00:00,12.0,76,7.9,0,0.0,0.0,0.0,0.0,0.0,0,1019.8,1017.5,0,0.02,0.34,13.8,227,29.9,9.4,12.1,11.2,10.4,0.206,0.211,0.223,0.246,0.278
2026-03-24 22:00:00,11.2,81,8.0,0,0.0,0.0,0.0,0.0,0.0,3,1019.3,1017.0,100,0.01,0.25,13.1,217,27.7,8.6,11.1,11.2,10.4,0.207,0.211,0.223,0.246,0.278
2026-03-24 23:00:00,10.4,83,7.7,0,0.0,0.0,0.0,0.0,0.0,0,1018.4,1016.1,2,-0.0,0.22,12.9,210,26.3,8.4,10.4,11.2,10.4,0.208,0.211,0.223,0.246,0.278
2026-03-25 00:00:00,9.8,84,7.3,0,0.0,0.0,0.0,0.0,0.0,1,1018.4,1016.1,36,-0.0,0.19,11.5,231,24.1,8.8,10.0,11.1,10.4,0.209,0.212,0.223,0.246,0.278
2026-03-25 01:00:00,11.7,79,8.2,0,0.0,0.0,0.0,0.0,0.0,3,1017.8,1015.5,100,-0.0,0.29,17.4,246,45.0,9.5,9.9,11.0,10.4,0.21,0.212,0.223,0.246,0.278
2026-03-25 02:00:00,12.0,75,7.7,0,0.0,0.0,0.0,0.0,0.0,3,1017.3,1015.0,100,0.01,0.35,20.2,248,42.1,9.8,10.0,10.9,10.4,0.211,0.213,0.223,0.246,0.278
2026-03-25 03:00:00,12.2,77,8.3,0,0.0,0.0,0.0,0.0,0.0,3,1016.3,1014.0,100,0.01,0.33,20.1,246,42.1,10.3,10.1,10.8,10.4,0.211,0.214,0.223,0.246,0.278
2026-03-25 04:00:00,11.9,86,9.6,0,0.0,0.0,0.0,0.0,0.0,3,1016.0,1013.7,100,0.01,0.2,19.7,235,47.5,11.0,10.4,10.8,10.4,0.212,0.214,0.223,0.246,0.278
2026-03-25 05:00:00,12.1,76,8.0,0,0.0,0.0,0.0,0.0,0.0,3,1015.7,1013.4,100,0.01,0.34,22.1,286,49.3,11.1,10.7,10.7,10.4,0.214,0.215,0.224,0.246,0.278
2026-03-25 06:00:00,10.6,69,5.2,0,0.0,0.0,0.0,0.0,0.0,3,1015.7,1013.4,100,0.02,0.4,14.3,295,41.8,9.4,10.6,10.7,10.4,0.213,0.215,0.224,0.246,0.278
2026-03-25 07:00:00,10.0,66,4.0,0,0.0,0.0,0.0,0.0,0.0,2,1016.9,1014.6,79,0.02,0.42,17.6,293,38.2,9.3,10.2,10.7,10.4,0.212,0.215,0.224,0.245,0.278
2026-03-25 08:00:00,9.0,70,3.8,0,0.0,0.0,0.0,0.0,0.0,1,1016.2,1013.9,41,0.03,0.34,18.7,293,42.1,8.3,9.8,10.6,10.4,0.212,0.215,0.224,0.245,0.278
2026-03-25 09:00:00,8.9,66,2.9,0,0.0,0.0,0.0,0.0,0.0,0,1017.5,1015.2,0,0.03,0.39,18.6,288,45.0,8.2,9.4,10.5,10.5,0.212,0.215,0.224,0.245,0.278
2026-03-25 10:00:00,9.3,59,1.7,0,0.0,0.0,0.0,0.0,0.0,0,1018.6,1016.3,0,0.05,0.48,24.5,290,46.8,9.9,9.5,10.5,10.5,0.212,0.215,0.224,0.245,0.278
2026-03-25 11:00:00,10.0,53,0.9,0,0.0,0.0,0.0,0.0,0.0,1,1018.8,1016.5,33,0.1,0.58,23.8,295,49.0,11.8,10.0,10.4,10.5,0.21,0.215,0.223,0.245,0.278
2026-03-25 12:00:00,10.8,49,0.5,0,0.0,0.0,0.0,0.0,0.0,3,1019.3,1017.0,80,0.14,0.66,24.2,307,48.6,12.6,10.7,10.4,10.5,0.208,0.214,0.223,0.245,0.278
2026-03-25 13:00:00,11.0,51,1.3,0,0.0,0.0,0.0,0.0,0.0,1,1018.8,1016.5,45,0.17,0.65,27.9,295,49.0,14.5,11.4,10.4,10.5,0.205,0.212,0.222,0.245,0.278
2026-03-25 14:00:00,11.9,42,-0.6,0,0.0,0.0,0.0,0.0,0.0,2,1019.1,1016.8,72,0.19,0.81,26.9,302,55.8,15.0,12.1,10.5,10.5,0.201,0.211,0.222,0.244,0.278
2026-03-25 15:00:00,11.4,51,1.6,0,0.0,0.0,0.0,0.0,0.0,3,1018.9,1016.6,99,0.22,0.66,33.8,291,50.4,14.7,12.5,10.7,10.5,0.198,0.209,0.221,0.244,0.277
2026-03-25 16:00:00,10.3,58,2.4,0,0.0,0.0,0.0,0.0,0.0,51,1019.4,1017.1,41,0.22,0.53,28.8,286,50.0,14.5,12.8,10.8,10.5,0.195,0.207,0.22,0.243,0.277
2026-03-25 17:00:00,12.0,47,1.1,0,0.0,0.0,0.0,0.0,0.0,1,1019.1,1016.8,42,0.2,0.75,26.6,303,42.8,13.6,12.8,10.9,10.5,0.193,0.205,0.219,0.243,0.277
2026-03-25 18:00:00,11.7,44,-0.2,0,0.0,0.0,0.0,0.0,0.0,51,1018.9,1016.6,100,0.17,0.77,26.8,311,56.2,12.3,12.6,11.1,10.5,0.192,0.204,0.218,0.243,0.277
2026-03-25 19:00:00,10.7,46,-0.4,0,0.0,0.0,0.0,0.0,0.0,53,1020.3,1018.0,100,0.13,0.7,25.1,294,52.9,10.5,12.0,11.1,10.5,0.192,0.203,0.218,0.242,0.277
2026-03-25 20:00:00,9.5,61,2.4,0,0.0,0.0,0.0,0.0,0.0,51,1019.6,1017.3,0,0.06,0.47,15.5,301,38.9,8.6,11.1,11.1,10.5,0.194,0.203,0.218,0.242,0.277
2026-03-25 21:00:00,8.3,61,1.3,0,0.0,0.0,0.0,0.0,0.0,0,1020.9,1018.5,0,0.04,0.43,12.1,282,31.3,6.9,10.1,11.1,10.5,0.195,0.203,0.217,0.242,0.277
2026-03-25 22:00:00,7.9,61,0.9,0,0.0,0.0,0.0,0.0,0.0,0,1021.2,1018.8,0,0.03,0.42,12.2,304,24.1,5.8,9.2,10.9,10.5,0.196,0.203,0.217,0.242,0.277
2026-03-25 23:00:00,7.4,61,0.4,0,0.0,0.0,0.0,0.0,0.0,0,1021.7,1019.3,0,0.02,0.4,15.7,307,28.8,5.0,8.4,10.8,10.5,0.197,0.203,0.217,0.242,0.277
2026-03-26 00:00:00,6.5,65,0.4,0,0.0,0.0,0.0,0.0,0.0,0,1022.0,1019.6,0,0.02,0.34,12.3,308,29.5,4.3,7.7,10.6,10.5,0.198,0.203,0.217,0.242,0.277
