time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation_probability,precipitation,rain,showers,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0cm,soil_temperature_6cm,soil_temperature_18cm,soil_temperature_54cm,soil_moisture_0_to_1cm,soil_moisture_1_to_3cm,soil_moisture_3_to_9cm,soil_moisture_9_to_27cm,soil_moisture_27_to_81cm
2026-03-23 00:00:00,9.3,68,3.7,0,0.0,0.0,0.0,0.0,0.0,0,1015.7,1001.6,0,0.0,0.38,7.3,11,15.1,8.3,10.2,12.4,11.2,0.264,0.265,0.267,0.28,0.309
2026-03-23 01:00:00,8.6,71,3.7,0,0.0,0.0,0.0,0.0,0.0,0,1016.1,1001.9,0,0.0,0.33,7.8,13,15.5,7.8,9.6,12.2,11.2,0.265,0.265,0.268,0.28,0.309
2026-03-23 02:00:00,7.6,74,3.3,0,0.0,0.0,0.0,0.0,0.0,0,1016.7,1002.5,0,0.0,0.27,8.3,5,15.5,7.1,8.9,11.9,11.2,0.265,0.266,0.268,0.28,0.309
2026-03-23 03:00:00,7.2,77,3.5,0,0.0,0.0,0.0,0.0,0.0,1,1016.6,1002.4,13,0.0,0.23,6.6,9,15.8,6.7,8.5,11.6,11.2,0.266,0.266,0.268,0.28,0.309
2026-03-23 04:00:00,6.6,81,3.5,0,0.0,0.0,0.0,0.0,0.0,0,1016.9,1002.6,0,0.0,0.19,3.3,347,13.0,6.3,8.0,11.3,11.2,0.266,0.267,0.269,0.28,0.309
2026-03-23 05:00:00,5.7,85,3.4,0,0.0,0.0,0.0,0.0,0.0,1,1017.2,1002.9,4,0.0,0.14,3.6,360,7.6,5.7,7.5,11.0,11.2,0.257,0.258,0.262,0.278,0.308
2026-03-23 06:00:00,5.3,87,3.3,0,0.0,0.0,0.0,0.0,0.0,3,1017.6,1003.2,99,0.0,0.12,5.0,330,9.4,5.4,7.0,10.7,11.2,0.258,0.259,0.262,0.278,0.308
2026-03-23 07:00:00,4.9,87,2.9,0,0.0,0.0,0.0,0.0,0.0,3,1018.0,1003.6,100,0.0,0.11,5.4,356,11.9,5.3,6.7,10.4,11.2,0.259,0.259,0.263,0.278,0.308
2026-03-23 08:00:00,4.5,88,2.7,0,0.0,0.0,0.0,0.0,0.0,3,1018.4,1004.0,100,0.0,0.1,6.5,341,13.0,4.8,6.4,10.0,11.2,0.26,0.26,0.263,0.278,0.308
2026-03-23 09:00:00,4.6,88,2.8,0,0.0,0.0,0.0,0.0,0.0,0,1019.4,1005.0,0,0.0,0.1,6.6,347,13.7,6.4,6.3,9.8,11.2,0.26,0.261,0.263,0.277,0.308
2026-03-23 10:00:00,6.2,81,3.2,0,0.0,0.0,0.0,0.0,0.0,0,1020.1,1005.7,0,0.0,0.18,6.9,351,18.4,9.8,7.4,9.5,11.2,0.26,0.261,0.264,0.277,0.308
2026-03-23 11:00:00,8.8,76,4.8,0,0.0,0.0,0.0,0.0,0.0,0,1020.7,1006.5,0,0.0,0.27,5.8,4,15.8,14.4,9.8,9.5,11.2,0.26,0.261,0.264,0.277,0.308
2026-03-23 12:00:00,11.1,68,5.4,0,0.0,0.0,0.0,0.0,0.0,1,1020.8,1006.7,30,0.0,0.42,5.2,25,14.0,18.0,12.5,9.7,11.2,0.259,0.261,0.264,0.277,0.308
2026-03-23 13:00:00,13.2,59,5.3,0,0.0,0.0,0.0,0.0,0.0,1,1020.7,1006.7,29,0.0,0.62,6.5,3,15.1,20.8,15.2,10.1,11.1,0.258,0.26,0.264,0.277,0.307
2026-03-23 14:00:00,14.9,45,3.0,0,0.0,0.0,0.0,0.0,0.0,2,1020.8,1006.9,7,0.0,0.93,6.9,9,20.9,20.7,17.3,10.7,11.1,0.256,0.259,0.264,0.277,0.307
2026-03-23 15:00:00,15.8,40,2.2,0,0.0,0.0,0.0,0.0,0.0,2,1019.8,1005.9,75,0.0,1.08,7.2,18,19.4,22.4,18.6,11.3,11.1,0.255,0.258,0.264,0.277,0.307
2026-03-23 16:00:00,16.5,37,1.7,0,0.0,0.0,0.0,0.0,0.0,3,1019.7,1005.9,100,0.0,1.18,6.6,331,16.9,21.7,19.5,12.0,11.1,0.253,0.257,0.264,0.277,0.307
2026-03-23 17:00:00,16.0,40,2.4,0,0.0,0.0,0.0,0.0,0.0,1,1019.2,1005.3,74,0.0,1.09,7.9,321,18.4,20.5,19.6,12.6,11.1,0.253,0.256,0.263,0.277,0.307
2026-03-23 18:00:00,16.0,42,3.1,0,0.0,0.0,0.0,0.0,0.0,2,1019.5,1005.6,51,0.0,1.06,9.6,340,19.4,18.3,18.9,13.1,11.2,0.252,0.255,0.263,0.277,0.307
2026-03-23 19:00:00,15.5,42,2.6,0,0.0,0.0,0.0,0.0,0.0,1,1019.8,1005.9,18,0.0,1.02,8.9,320,20.2,15.7,17.6,13.5,11.2,0.253,0.255,0.262,0.277,0.307
