time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation_probability,precipitation,rain,showers,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0cm,soil_temperature_6cm,soil_temperature_18cm,soil_temperature_54cm,soil_moisture_0_to_1cm,soil_moisture_1_to_3cm,soil_moisture_3_to_9cm,soil_moisture_9_to_27cm,soil_moisture_27_to_81cm
2026-03-23 00:00:00,8.7,78,5.1,0,0.0,0.0,0.0,0.0,0.0,3,1018.0,1012.6,100,0.01,0.25,6.2,339,15.5,6.4,9.1,10.4,10.1,0.204,0.223,0.254,0.291,0.308
2026-03-23 01:00:00,8.1,86,5.9,0,0.0,0.0,0.0,0.0,0.0,3,1017.9,1012.5,100,-0.0,0.15,5.8,360,13.3,5.6,8.5,10.3,10.1,0.206,0.224,0.254,0.291,0.308
2026-03-23 02:00:00,7.5,89,5.8,0,0.0,0.0,0.0,0.0,0.0,3,1017.6,1012.2,100,-0.0,0.11,4.0,10,9.0,5.0,8.1,10.2,10.1,0.206,0.223,0.254,0.291,0.308
2026-03-23 03:00:00,6.9,91,5.5,0,0.0,0.0,0.0,0.0,0.0,3,1017.5,1012.0,100,-0.0,0.09,5.2,25,11.5,4.8,7.6,10.0,10.1,0.208,0.223,0.254,0.291,0.308
2026-03-23 04:00:00,6.0,91,4.6,0,0.0,0.0,0.0,0.0,0.0,0,1018.8,1013.3,0,0.0,0.08,8.0,333,16.6,4.2,7.2,9.9,10.1,0.209,0.223,0.254,0.29,0.308
2026-03-23 05:00:00,5.4,93,4.4,0,0.0,0.0,0.0,0.0,0.0,1,1019.2,1013.7,37,0.0,0.06,6.6,351,11.2,3.9,6.9,9.7,10.1,0.211,0.224,0.254,0.29,0.308
2026-03-23 06:00:00,4.3,98,4.0,0,0.0,0.0,0.0,0.0,0.0,3,1018.9,1013.4,100,0.0,0.02,7.1,345,17.6,3.8,6.6,9.5,10.1,0.212,0.224,0.254,0.29,0.308
2026-03-23 07:00:00,4.4,99,4.3,0,0.0,0.0,0.0,0.0,0.0,3,1019.5,1014.0,100,0.0,0.01,6.2,7,11.5,3.9,6.3,9.3,10.1,0.213,0.224,0.254,0.29,0.308
2026-03-23 08:00:00,4.1,98,3.8,0,0.0,0.0,0.0,0.0,0.0,3,1019.7,1014.2,100,0.0,0.02,4.7,9,12.2,4.4,6.2,9.1,10.1,0.215,0.225,0.255,0.29,0.308
2026-03-23 09:00:00,4.1,97,3.7,0,0.0,0.0,0.0,0.0,0.0,3,1020.6,1015.1,100,-0.0,0.02,4.3,355,10.8,5.5,6.2,8.9,10.1,0.216,0.225,0.255,0.29,0.308
