time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation_probability,precipitation,rain,showers,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0cm,soil_temperature_6cm,soil_temperature_18cm,soil_temperature_54cm,soil_moisture_0_to_1cm,soil_moisture_1_to_3cm,soil_moisture_3_to_9cm,soil_moisture_9_to_27cm,soil_moisture_27_to_81cm
2026-03-23 00:00:00,8.5,70,3.4,0,0.0,0.0,0.0,0.0,0.0,0,1014.0,996.7,0,0.0,0.33,2.9,330,7.6,7.4,9.8,12.3,10.6,0.316,0.319,0.326,0.34,0.37
2026-03-23 01:00:00,7.8,74,3.4,0,0.0,0.0,0.0,0.0,0.0,0,1014.4,997.1,0,0.0,0.28,3.4,18,6.5,6.9,9.2,12.0,10.7,0.316,0.319,0.326,0.34,0.37
2026-03-23 02:00:00,6.5,81,3.5,0,0.0,0.0,0.0,0.0,0.0,0,1014.6,997.2,60,0.0,0.18,2.2,351,6.1,5.7,8.3,11.7,10.7,0.316,0.319,0.326,0.34,0.37
2026-03-23 03:00:00,6.3,81,3.3,0,0.0,0.0,0.0,0.0,0.0,3,1014.7,997.3,85,0.0,0.18,2.1,329,4.3,5.5,7.8,11.3,10.7,0.317,0.319,0.325,0.34,0.37
2026-03-23 04:00:00,6.0,83,3.3,0,0.0,0.0,0.0,0.0,0.0,1,1015.3,997.8,12,0.0,0.16,1.1,90,3.2,5.1,7.5,11.0,10.7,0.317,0.319,0.325,0.34,0.37
2026-03-23 05:00:00,4.5,97,4.1,0,0.0,0.0,0.0,0.0,0.0,1,1015.8,998.2,23,0.0,0.03,2.3,108,4.3,3.9,6.5,10.6,10.7,0.319,0.321,0.327,0.34,0.369
2026-03-23 06:00:00,3.9,98,3.6,0,0.0,0.0,0.0,0.0,0.0,45,1016.0,998.4,52,0.0,0.02,2.2,171,4.7,3.8,6.2,10.3,10.7,0.32,0.321,0.327,0.34,0.369
2026-03-23 07:00:00,3.6,99,3.5,0,0.0,0.0,0.0,0.0,0.0,45,1016.9,999.3,87,0.0,0.01,1.8,217,4.7,3.7,5.9,9.9,10.6,0.32,0.321,0.327,0.34,0.369
2026-03-23 08:00:00,2.8,100,2.8,0,0.0,0.0,0.0,0.0,0.0,45,1017.7,1000.0,100,0.0,0.0,4.4,215,7.2,4.6,5.7,9.6,10.6,0.32,0.322,0.327,0.34,0.369
2026-03-23 09:00:00,4.3,89,2.6,0,0.0,0.0,0.0,0.0,0.0,3,1017.8,1000.2,93,0.0,0.09,3.7,209,10.4,6.4,6.2,9.3,10.6,0.32,0.322,0.327,0.34,0.369
2026-03-23 10:00:00,5.5,81,2.5,0,0.0,0.0,0.0,0.0,0.0,2,1018.6,1001.1,89,0.0,0.17,5.0,201,13.0,9.4,7.3,9.1,10.6,0.319,0.321,0.326,0.34,0.369
2026-03-23 11:00:00,7.8,71,2.9,0,0.0,0.0,0.0,0.0,0.0,3,1019.4,1002.0,80,0.0,0.31,5.4,233,15.1,13.9,9.5,9.1,10.6,0.318,0.321,0.326,0.34,0.369
