time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation_probability,precipitation,rain,showers,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0cm,soil_temperature_6cm,soil_temperature_18cm,soil_temperature_54cm,soil_moisture_0_to_1cm,soil_moisture_1_to_3cm,soil_moisture_3_to_9cm,soil_moisture_9_to_27cm,soil_moisture_27_to_81cm
2026-03-23 00:00:00,11.5,73,6.8,13,0.0,0.0,0.0,0.0,0.0,3,1013.8,995.4,78,0.0,0.37,8.1,193,17.6,11.7,13.2,14.7,13.4,0.269,0.27,0.273,0.285,0.318
2026-03-23 01:00:00,11.2,76,7.1,0,0.0,0.0,0.0,0.0,0.0,2,1013.9,995.5,61,0.0,0.32,8.8,235,20.5,11.3,12.7,14.5,13.4,0.27,0.27,0.273,0.285,0.318
2026-03-23 02:00:00,10.7,78,7.0,0,0.0,0.0,0.0,0.0,0.0,1,1014.1,995.6,60,0.0,0.28,5.4,262,17.3,10.7,12.3,14.3,13.4,0.27,0.271,0.274,0.285,0.318
2026-03-23 03:00:00,9.7,86,7.4,0,0.0,0.0,0.0,0.0,0.0,1,1014.5,996.0,27,0.0,0.17,6.3,283,13.0,9.6,11.6,14.1,13.4,0.271,0.271,0.274,0.285,0.318
2026-03-23 04:00:00,8.9,91,7.5,0,0.0,0.0,0.0,0.0,0.0,2,1014.9,996.3,54,0.0,0.1,3.1,306,12.6,9.0,10.9,13.8,13.5,0.271,0.272,0.274,0.286,0.318
2026-03-23 05:00:00,7.4,89,5.7,0,0.0,0.0,0.0,0.0,0.0,3,1015.1,996.4,0,0.0,0.11,4.4,351,5.0,8.0,10.1,13.5,13.4,0.268,0.268,0.271,0.284,0.318
2026-03-23 06:00:00,6.4,89,4.7,0,0.0,0.0,0.0,0.0,0.0,1,1015.8,997.0,0,0.0,0.11,3.9,22,10.4,7.3,9.4,13.1,13.4,0.268,0.269,0.271,0.284,0.318
2026-03-23 07:00:00,5.7,92,4.5,0,0.0,0.0,0.0,0.0,0.0,2,1016.3,997.5,82,0.0,0.07,3.5,336,7.9,7.3,8.9,12.8,13.4,0.269,0.269,0.272,0.284,0.318
2026-03-23 08:00:00,6.0,90,4.5,0,0.0,0.0,0.0,0.0,0.0,3,1017.4,998.6,85,0.0,0.09,1.8,259,8.6,7.9,8.9,12.5,13.4,0.269,0.27,0.272,0.284,0.318
2026-03-23 09:00:00,6.5,90,5.0,0,0.0,0.0,0.0,0.0,0.0,3,1018.1,999.3,100,0.0,0.1,3.9,236,8.6,9.4,9.2,12.2,13.4,0.269,0.27,0.272,0.284,0.318
2026-03-23 10:00:00,7.0,88,5.2,0,0.0,0.0,0.0,0.0,0.0,3,1018.5,999.7,100,0.0,0.12,4.2,250,10.4,11.2,10.0,12.0,13.4,0.27,0.27,0.273,0.284,0.318
2026-03-23 11:00:00,8.1,84,5.6,0,0.0,0.0,0.0,0.0,0.0,3,1020.2,1001.4,91,0.0,0.17,3.6,307,10.4,14.5,11.4,11.9,13.4,0.27,0.27,0.273,0.284,0.318
2026-03-23 12:00:00,9.2,81,6.1,0,0.0,0.0,0.0,0.0,0.0,3,1020.4,1001.7,99,0.0,0.22,5.4,318,12.6,16.9,13.3,12.0,13.4,0.269,0.27,0.273,0.284,0.317
2026-03-23 13:00:00,10.6,74,6.2,0,0.0,0.0,0.0,0.0,0.0,2,1020.4,1001.8,67,0.0,0.33,6.3,329,15.1,20.8,15.4,12.3,13.3,0.269,0.27,0.273,0.284,0.317
2026-03-23 14:00:00,13.2,60,5.6,0,0.0,0.0,0.0,0.0,0.0,1,1019.8,1001.4,14,0.0,0.61,5.9,346,15.5,24.6,18.5,12.8,13.3,0.268,0.27,0.273,0.284,0.317
2026-03-23 15:00:00,14.5,50,4.2,0,0.0,0.0,0.0,0.0,0.0,1,1019.2,1000.9,7,0.0,0.83,7.4,337,17.6,25.3,20.5,13.4,13.3,0.267,0.269,0.273,0.284,0.317
2026-03-23 16:00:00,15.3,41,2.1,0,0.0,0.0,0.0,0.0,0.0,0,1019.2,1000.9,0,0.0,1.03,8.8,341,20.2,24.8,21.5,14.1,13.3,0.266,0.268,0.273,0.284,0.317
2026-03-23 17:00:00,15.7,39,1.7,0,0.0,0.0,0.0,0.0,0.0,0,1018.8,1000.6,0,0.0,1.09,9.5,335,24.1,22.9,21.4,14.7,13.3,0.266,0.268,0.272,0.284,0.317
2026-03-23 18:00:00,15.6,39,1.7,0,0.0,0.0,0.0,0.0,0.0,0,1019.2,1000.9,0,0.0,1.08,8.7,330,23.0,20.6,20.6,15.2,13.4,0.266,0.267,0.272,0.284,0.317
2026-03-23 19:00:00,15.4,42,2.5,0,0.0,0.0,0.0,0.0,0.0,1,1019.3,1001.0,0,0.0,1.01,8.9,317,19.1,17.7,19.3,15.6,13.4,0.266,0.267,0.272,0.284,0.317
2026-03-23 20:00:00,14.6,44,2.5,0,0.0,0.0,0.0,0.0,0.0,0,1020.5,1002.2,0,0.0,0.93,7.1,330,21.2,14.5,17.4,15.8,13.4,0.266,0.268,0.272,0.284,0.317
2026-03-23 21:00:00,13.4,53,4.0,0,0.0,0.0,0.0,0.0,0.0,0,1020.9,1002.5,0,0.0,0.72,4.0,297,14.4,12.9,15.5,15.8,13.4,0.267,0.268,0.272,0.284,0.317
2026-03-23 22:00:00,12.4,55,3.6,0,0.0,0.0,0.0,0.0,0.0,1,1021.7,1003.2,6,0.0,0.65,3.6,307,9.4,11.7,14.1,15.6,13.4,0.268,0.269,0.272,0.284,0.317
2026-03-23 23:00:00,11.4,62,4.3,0,0.0,0.0,0.0,0.0,0.0,0,1021.8,1003.2,0,0.0,0.51,1.5,225,7.9,10.7,13.1,15.4,13.5,0.269,0.269,0.272,0.284,0.317
2026-03-24 00:00:00,9.9,71,4.9,0,0.0,0.0,0.0,0.0,0.0,0,1022.4,1003.7,0,0.0,0.35,2.8,230,5.0,10.0,12.2,15.1,13.5,0.269,0.27,0.272,0.284,0.316
2026-03-24 01:00:00,8.8,76,4.8,0,0.0,0.0,0.0,0.0,0.0,1,1022.9,1004.1,57,0.0,0.27,2.3,231,6.1,9.3,11.4,14.7,13.5,0.27,0.27,0.273,0.284,0.316
2026-03-24 02:00:00,8.1,78,4.5,0,0.0,0.0,0.0,0.0,0.0,0,1023.2,1004.4,8,0.0,0.24,4.2,211,7.2,8.7,10.7,14.3,13.5,0.27,0.271,0.273,0.284,0.316
2026-03-24 03:00:00,7.6,79,4.2,0,0.0,0.0,0.0,0.0,0.0,1,1023.6,1004.8,24,0.0,0.22,1.1,270,8.3,8.2,10.1,14.0,13.5,0.27,0.271,0.273,0.284,0.316
2026-03-24 04:00:00,7.0,81,3.9,0,0.0,0.0,0.0,0.0,0.0,0,1023.3,1004.4,0,0.0,0.19,3.2,207,6.5,7.7,9.6,13.6,13.5,0.271,0.271,0.274,0.284,0.316
2026-03-24 05:00:00,6.4,85,4.0,0,0.0,0.0,0.0,0.0,0.0,0,1022.7,1003.8,0,0.0,0.14,3.1,201,10.4,7.2,9.1,13.2,13.5,0.265,0.266,0.269,0.282,0.316
2026-03-24 06:00:00,5.9,83,3.3,0,0.0,0.0,0.0,0.0,0.0,0,1022.9,1004.0,0,0.0,0.16,3.7,209,7.9,6.9,8.7,12.8,13.5,0.266,0.266,0.269,0.282,0.316
2026-03-24 07:00:00,5.5,83,2.8,0,0.0,0.0,0.0,0.0,0.0,0,1023.5,1004.5,0,0.0,0.15,2.7,203,7.6,6.5,8.3,12.5,13.5,0.266,0.267,0.27,0.282,0.316
2026-03-24 08:00:00,5.3,85,3.0,0,0.0,0.0,0.0,0.0,0.0,0,1023.6,1004.6,1,0.0,0.13,3.5,204,5.8,6.4,8.0,12.1,13.5,0.267,0.267,0.27,0.282,0.316
2026-03-24 09:00:00,5.6,82,2.7,0,0.0,0.0,0.0,0.0,0.0,0,1024.7,1005.7,0,0.0,0.16,3.4,198,7.6,8.2,8.0,11.8,13.4,0.267,0.268,0.27,0.282,0.316
2026-03-24 10:00:00,7.4,74,3.1,0,0.0,0.0,0.0,0.0,0.0,0,1024.3,1005.4,0,0.0,0.27,2.6,196,9.7,12.3,9.2,11.5,13.4,0.267,0.268,0.271,0.282,0.316
2026-03-24 11:00:00,10.7,62,3.7,0,0.0,0.0,0.0,0.0,0.0,2,1024.8,1006.1,21,0.0,0.49,2.5,225,8.6,17.2,12.0,11.5,13.4,0.267,0.268,0.271,0.282,0.316
2026-03-24 12:00:00,13.3,53,3.9,0,0.0,0.0,0.0,0.0,0.0,1,1024.4,1005.9,1,0.0,0.72,2.3,252,8.3,20.7,14.8,11.8,13.4,0.266,0.268,0.271,0.282,0.316
2026-03-24 13:00:00,15.2,52,5.4,0,0.0,0.0,0.0,0.0,0.0,0,1023.8,1005.4,0,0.0,0.83,2.5,270,9.0,23.8,17.5,12.2,13.4,0.265,0.267,0.271,0.282,0.316
2026-03-24 14:00:00,16.5,47,5.1,0,0.0,0.0,0.0,0.0,0.0,1,1023.1,1004.8,0,0.0,0.99,2.7,337,8.3,25.7,19.8,12.8,13.4,0.264,0.266,0.271,0.282,0.315
